City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
7,Manicore,BR,76.23,overcast clouds,-5.8092,-61.3003,Hotel Durval
9,Bandarbeyla,SO,80.98,light rain,9.4942,50.8122,JABIR HOTEL
14,Plainview,US,75.54,broken clouds,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
17,Rikitea,PF,73.83,overcast clouds,-23.1203,-134.9692,People ThankYou
18,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
20,Suez,EG,70.56,clear sky,29.9737,32.5263,Green House
22,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
23,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
24,Atuona,PF,77.31,broken clouds,-9.8,-139.0333,Villa Enata
27,Victoria,HK,84.38,few clouds,22.2855,114.1577,Mini Hotel Central
28,Daru,PG,76.57,broken clouds,-9.0763,143.2092,Daru Lodge
30,Sinnamary,GF,82.72,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
32,Manokwari,ID,78.98,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
37,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
40,Souillac,MU,71.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
42,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
43,Petersburg,US,76.96,clear sky,37.2279,-77.4019,Hilton Garden Inn Richmond South/Southpark
49,Kapit,MY,72.1,broken clouds,2.0167,112.9333,Hotel Meligai Kapit
51,Karaton,ID,79.95,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
52,Minab,IR,87.3,clear sky,27.1467,57.0801,Bam campground
53,Buenaventura,CO,72.91,broken clouds,3.8801,-77.0312,La Casa Blanca Hotel
54,Vila Velha,BR,74.97,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
56,Remanso,BR,84.31,scattered clouds,-9.6179,-42.0831,Hotel Mangueira
65,Mvomero,TZ,71.19,few clouds,-6.25,38.6667,Kisampa Bush Retreat
72,Seminole,US,89.82,overcast clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
73,Kapaa,US,85.98,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,Baraboo,US,78.96,broken clouds,43.4711,-89.7443,Thunderbird Motor Inn
85,San-Pedro,CI,76.77,light rain,4.7485,-6.6363,Hotel Maria
86,Le Port,RE,71.56,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
93,Hilo,US,85.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
95,Fukuma,JP,71.6,clear sky,33.7667,130.4667,Masago
100,Howard Springs,AU,73.31,broken clouds,-12.497,131.047,buffalo beach hostel
102,Ilebo,CD,70.68,light rain,-4.3167,20.5833,Hôtel BUMAK
105,Hithadhoo,MV,82.44,overcast clouds,-0.6,73.0833,Scoop Guest House
106,Bushehr,IR,89.46,clear sky,28.9684,50.8385,Yas Hotel
109,Faanui,PF,76.26,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
110,Neijiang,CN,73.9,light rain,29.5835,105.0622,Han'an Hotel
111,Issia,CI,72.7,scattered clouds,6.4922,-6.5856,Résidence Hôtel Ange Anaé
112,Kavieng,PG,82.85,few clouds,-2.5744,150.7967,Nusa Island Retreat
114,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
115,Bourail,NC,70.36,broken clouds,-21.5667,165.4833,Motel Allamanda
119,Malakal,SS,70.38,overcast clouds,9.5334,31.6605,Nile Palace Hotel
120,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
122,Chalus,IR,76.46,broken clouds,36.655,51.4204,نظام مهندسي ساختمان چالوس
126,Matara,LK,78.31,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
127,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
132,Hasaki,JP,70.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
133,Erzin,TR,70.52,clear sky,36.9559,36.2,Artemis Otel
135,Namatanai,PG,79.95,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
137,Lagoa,PT,70.38,overcast clouds,39.05,-27.9833,Casa Das Faias
140,Tura,IN,74.57,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
142,Fallon,US,85.91,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
144,Salinopolis,BR,81.18,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
146,Viedma,AR,76.62,clear sky,-40.8135,-62.9967,Hotel Cristal
156,Riyadh,SA,86.14,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
157,Jacareacanga,BR,74.7,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
162,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
163,Port Blair,IN,80.87,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
165,Rawson,AR,76.91,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
166,Butaritari,KI,83.8,few clouds,3.0707,172.7902,Isles Sunset Lodge
167,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
168,Dzaoudzi,YT,71.49,clear sky,-12.7887,45.2699,Le Rocher
174,Acarau,BR,79.95,broken clouds,-2.8856,-40.12,castelo pizzaria
175,Mayo,US,76.44,clear sky,38.8876,-76.5119,Resorts Resource Group International
179,Sorong,ID,76.28,overcast clouds,-0.8833,131.25,waigo splash hotel
180,Hirara,JP,82.4,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
183,Yining,CN,75.25,clear sky,29.0361,114.5636,Xiushui Hotel
193,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
194,Acari,PE,76.55,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
198,Talara,PE,74.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
201,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
202,Praya,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
212,Port Moresby,PG,76.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
214,Griffith,US,80.89,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
217,Mahebourg,MU,71.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
218,Gunjur,GM,80.67,thunderstorm,13.2019,-16.7339,Kuba Lodge
220,Ponta Delgada,PT,70.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
222,Kupang,ID,74.77,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
224,Soyo,AO,75.74,scattered clouds,-6.1349,12.3689,Hotel Mpampa
228,Pyinmana,MM,74.07,light rain,19.7333,96.2167,"Win (Computer, Copier, Digital Stamp, Invitation Card, Trophy) Shop"
229,Iranshahr,IR,89.94,clear sky,27.2025,60.6848,نیک سرشت
230,Nanakuli,US,87.75,broken clouds,21.3906,-158.1547,Camp Pālehua
241,Quang Ngai,VN,75.61,light rain,15.1167,108.8,Central Hotel
242,Camargo,MX,86.32,clear sky,27.6667,-105.1667,Hotel Santa Fe
246,Westport,US,76.08,few clouds,41.1415,-73.3579,The Westport Inn
248,Gogapur,IN,74.48,overcast clouds,23.55,75.5167,विशाल देवडा
250,Sao Filipe,CV,78.78,broken clouds,14.8961,-24.4956,Hotel Xaguate
251,Maceio,BR,80.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
253,Oussouye,SN,77.18,overcast clouds,12.485,-16.5469,Auberge du Routard
256,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
258,Naze,JP,78.04,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
260,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
263,Isangel,VU,73.51,overcast clouds,-19.55,169.2667,Tanna Lodge
266,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
268,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
271,Ondjiva,AO,74.37,broken clouds,-17.0667,15.7333,SOS Motel
272,Dongkan,CN,71.2,light rain,33.9997,119.8308,Triumphal Resort
273,Vanimo,PG,78.1,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
274,Comodoro Rivadavia,AR,80.46,clear sky,-45.8667,-67.5,Austral Hotel
275,Reconquista,AR,75.4,clear sky,-29.15,-59.65,Grand Hotel
278,Roebourne,AU,70.72,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
279,Santo Antonio Do Ica,BR,76.59,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
281,Mitsamiouli,KM,75.87,clear sky,-11.3847,43.2844,Foyer ADM
285,Lompoc,US,83.12,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
290,Ambon,ID,75.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
295,Itoman,JP,78.82,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
296,Bethel,US,73.69,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
298,Najran,SA,77.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
299,Bubaque,GW,81.57,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
301,Palmas,BR,85.87,broken clouds,-10.2128,-48.3603,Hotel Lago da Palma
302,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
305,Lahijan,IR,74.89,overcast clouds,37.2061,50.0029,Markazi hotel
306,Tual,ID,79.88,broken clouds,-5.6667,132.75,Grand Vilia Hotel
307,Mweka,CD,70.09,overcast clouds,-4.85,21.5667,Guest House Boshab
308,Marrakesh,MA,73.47,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
311,Peace River,CA,70.11,broken clouds,56.2501,-117.286,BCMInns - Peace River
312,Palu,ID,74.23,broken clouds,-0.8917,119.8707,Hotel Santika Palu
316,Bengkulu,ID,75.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
318,Panaba,MX,83.3,overcast clouds,21.2833,-88.2667,Posada rosario
319,Kavaratti,IN,81.66,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
320,Razole,IN,78.42,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
321,Quatre Cocos,MU,71.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
322,Monywa,MM,79.9,moderate rain,22.1167,95.1333,Monywa Hotel
327,Sedro-Woolley,US,78.6,clear sky,48.5039,-122.2361,Natural Resources Department
329,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
330,Buala,SB,82.04,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
331,Manavalakurichi,IN,80.69,overcast clouds,8.1333,77.3,Udaya Boys Hostel
332,Dourados,BR,87.93,scattered clouds,-22.2211,-54.8056,Bravo City Hotel
334,Lerdo,MX,87.87,clear sky,25.5333,-103.5333,Casa de mi hermano
336,Kloulklubed,PW,77.5,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
338,Toumodi,CI,77.45,overcast clouds,6.5613,-5.0158,Hotel Akanza
340,Maple Creek,CA,72.09,few clouds,49.9168,-109.4848,Willowbend Campground & Cabins
348,Saint-Pierre,RE,71.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
350,Dingle,PH,76.19,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
352,Mazatlan,MX,87.91,clear sky,23.2167,-106.4167,Hotel Playamar
354,Ribeira Grande,PT,71.19,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
355,Kutum,SD,80.08,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
358,Kotaparh,IN,74.1,overcast clouds,19.15,82.35,Atul Pattnaik
359,Samarai,PG,78.67,broken clouds,-10.6167,150.6667,Nuli Sapi
360,Kalianget,ID,80.56,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
361,Acapulco,MX,85.28,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
362,Novo Aripuana,BR,88.11,overcast clouds,-5.1206,-60.3797,POUSADA Flexy
363,Sokone,SN,87.69,broken clouds,13.8833,-16.3667,Hôtel le Caïman
365,Arara,BR,75.63,broken clouds,-6.8283,-35.7583,Aconchego
373,Zhuhai,CN,84.11,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
375,Nantucket,US,75.54,scattered clouds,41.2835,-70.0995,Jared Coffin House
376,Bulalacao,PH,80.13,clear sky,12.3254,121.3435,By The Sea Hotels
378,Virginia Beach,US,75.25,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
379,Mahuva,IN,78.48,broken clouds,21.0914,71.7622,Hotel Blue Diamond.
382,Amberley,US,75.06,clear sky,39.2048,-84.428,"Motel 6 Cincinnati, OH - Central - Norwood"
385,Caravelas,BR,70.3,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
389,Guerrero Negro,MX,77.43,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
390,Lorengau,PG,81.91,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
393,Vila Franca Do Campo,PT,70.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
394,Tecoanapa,MX,86.29,overcast clouds,16.5167,-98.75,Hotel Manglares
395,Wanning,CN,78.76,overcast clouds,18.8003,110.3967,Paradise Hotel
398,Wilmington,US,79.0,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
401,Payo,ID,72.91,broken clouds,-3.7508,103.6372,Mess keban agung
404,Jiazi,CN,79.45,broken clouds,22.8779,116.067,Hotel Jin Hao
405,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
411,Lexington Park,US,76.1,clear sky,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
416,Galle,LK,78.85,overcast clouds,6.0367,80.217,Amangalla
417,Sao Joao Da Barra,BR,71.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
420,Nishihara,JP,78.08,few clouds,26.1842,127.7558,Minshuku Agaihama
425,Marsa Matruh,EG,71.83,clear sky,31.3525,27.2453,Beau Site
428,Santona,ES,72.36,overcast clouds,43.4439,-3.4576,Playamar
430,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
431,Xalpatlahuac,MX,75.72,overcast clouds,17.4667,-98.6167,Hotel Villarreal
432,Morondava,MG,72.52,clear sky,-20.2833,44.2833,La Case Bambou
433,Fare,PF,76.6,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
434,Makakilo City,US,86.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
435,Huilong,CN,75.92,light rain,31.8111,121.655,Hilton Garden Inn Qidong
438,Abnub,EG,78.24,clear sky,27.2696,31.1511,Romany Adly Gad
440,Rapar,IN,82.36,broken clouds,23.5667,70.6333,Dharamshi Bapa’s Home
443,Champerico,GT,84.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
445,Bandar-E Lengeh,IR,86.11,haze,26.5579,54.8807,کافی نت پارس
452,Bam,IR,85.17,clear sky,29.106,58.357,Bam Tourist Hotel
455,Sao Jose Da Coroa Grande,BR,76.66,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
456,Ascension,US,81.09,clear sky,30.2169,-90.9001,Highland Inn
458,Viareggio,IT,72.1,few clouds,43.8735,10.2558,Hotel Bianchi
461,Paka,MY,75.13,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
462,Gat,IL,72.28,clear sky,31.61,34.7642,OlusHome
463,Huangmei,CN,76.5,light rain,30.1924,116.025,Tianxiachan Hotel
465,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
472,Portoferraio,IT,73.96,clear sky,42.8115,10.3146,Hotel Villa Ombrosa
473,Aswan,EG,87.42,broken clouds,24.0934,32.907,Nuba Nile
474,Shache,CN,71.49,clear sky,38.4167,77.2406,Delong Hotel
475,Pindiga,NG,73.8,scattered clouds,9.9833,10.9333,Accommodation Center
477,Kalemie,CD,73.35,few clouds,-5.9475,29.1947,Mahobilali
480,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
481,Golden,US,81.1,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
486,Ilheus,BR,76.82,overcast clouds,-14.7889,-39.0494,Barravento Hotel
487,Keti Bandar,PK,82.33,overcast clouds,24.1447,67.4497,Haji laloo memon house
488,Davila,PH,76.98,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
491,San Patricio,US,88.52,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
493,Cancun,MX,84.13,broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
494,Puerto Escondido,MX,85.23,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
496,Omboue,GA,76.42,light rain,-1.5746,9.2618,Hotel Olako
497,Fortuna,US,78.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
498,Lipari,IT,76.08,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
499,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
501,Teahupoo,PF,75.16,clear sky,-17.8333,-149.2667,Vanira Lodge
502,Kikwit,CD,75.54,light rain,-5.041,18.8162,HOTEL PLACE YALABA
506,Abu Dhabi,AE,89.71,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
512,Jibuti,DJ,87.22,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
516,Ambulu,ID,74.17,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
519,Honiara,SB,81.03,broken clouds,-9.4333,159.95,Heritage Park Hotel
520,Lethem,GY,87.35,overcast clouds,3.3803,-59.7968,Savannah Inn
521,Am Timan,TD,74.64,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
529,Tomatlan,MX,87.46,overcast clouds,19.9333,-105.25,El Salvial
533,Saint-Leu,RE,70.63,few clouds,-21.15,55.2833,La Caz Oceane
536,Natitingou,BJ,75.25,light rain,10.3042,1.3796,Auberge Centrale
537,Bima,ID,73.58,overcast clouds,-8.4667,118.7167,Lambitu Hotel
543,Iberia,US,80.6,clear sky,29.9502,-91.7507,back to back rv park
544,Morgan City,US,80.6,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
546,Nacala,MZ,70.72,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
549,Vallenar,CL,73.38,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
550,Sterling,US,75.87,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
551,Rock Sound,BS,83.77,broken clouds,24.9,-76.2,Rock Sound Club
552,Maneadero,MX,80.19,overcast clouds,31.7167,-116.5667,Casa De Thompson
