City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
0,Lorengau,PG,-2.0226,147.2712,81.86,76,100,8.5,overcast clouds
1,Hamilton,US,39.1834,-84.5333,48.72,51,0,4.0,clear sky
2,Torbay,CA,47.6666,-52.7314,19.76,72,20,5.75,few clouds
3,Kavieng,PG,-2.5744,150.7967,82.72,75,95,9.55,overcast clouds
4,Nusaybin,TR,37.0778,41.2178,51.39,93,75,13.8,mist
5,Punta Arenas,CL,-53.15,-70.9167,55.51,38,40,33.38,scattered clouds
6,Natal,BR,-5.795,-35.2094,83.05,78,20,8.05,few clouds
7,Barrow,US,71.2906,-156.7887,-11.18,77,75,4.61,haze
8,Faanui,PF,-16.4833,-151.75,78.64,85,100,10.38,moderate rain
9,Javanrud,IR,34.7961,46.5172,35.24,83,23,3.2,few clouds
10,Bluff,NZ,-46.6,168.3333,54.81,67,93,9.84,overcast clouds
11,Sioux Lookout,CA,50.1001,-91.917,10.78,72,75,4.61,broken clouds
12,Port Alfred,ZA,-33.5906,26.891,71.02,81,98,16.49,overcast clouds
13,Husavik,IS,66.0449,-17.3389,35.51,68,100,35.54,overcast clouds
14,Wanlaweyn,SO,2.6185,44.8938,75.42,75,100,12.86,overcast clouds
15,Saint-Philippe,RE,-21.3585,55.7679,76.55,88,100,13.71,light rain
16,Kapaa,US,22.0752,-159.319,78.12,72,100,1.01,overcast clouds
17,Sao Joao Da Barra,BR,-21.6403,-41.0511,82.49,90,9,10.8,clear sky
18,Fukue,JP,32.6881,128.8419,46.51,60,97,15.32,overcast clouds
19,Pevek,RU,69.7008,170.3133,-20.94,94,66,2.95,broken clouds
20,Atuona,PF,-9.8,-139.0333,77.58,76,25,11.63,scattered clouds
21,Hwange,ZW,-18.3693,26.5019,67.96,97,100,2.44,light rain
22,Ribeira Grande,PT,38.5167,-28.7,61.2,77,20,14.97,few clouds
23,Mekhe,SN,15.1097,-16.6218,75.76,51,87,10.31,overcast clouds
24,Isetskoye,RU,56.4858,65.3226,-4.02,89,5,6.26,clear sky
25,Mareeba,AU,-17.0,145.4333,73.44,92,92,1.32,overcast clouds
26,Coos Bay,US,43.3665,-124.2179,59.14,86,0,6.91,clear sky
27,Albany,US,42.6001,-73.9662,34.81,64,98,3.0,overcast clouds
28,Chokurdakh,RU,70.6333,147.9167,-33.95,100,96,3.65,overcast clouds
29,Tilichiki,RU,60.4667,166.1,-7.62,96,92,8.34,overcast clouds
30,Vanavara,RU,60.34,102.2797,-26.27,100,93,1.79,overcast clouds
31,Provideniya,RU,64.3833,-173.3,6.91,61,0,20.13,clear sky
32,Mayumba,GA,-3.432,10.6554,77.23,87,100,5.28,overcast clouds
33,Lima,PE,-12.0432,-77.0282,76.14,69,40,8.05,scattered clouds
34,Kodiak,US,57.79,-152.4072,29.71,80,0,5.75,clear sky
35,Westport,US,41.1415,-73.3579,40.82,57,0,4.0,clear sky
36,Serpa,PT,37.9458,-7.5975,48.16,70,0,5.26,clear sky
37,Cape Town,ZA,-33.9258,18.4232,70.11,66,0,3.0,clear sky
38,Batagay,RU,67.6333,134.6333,-17.82,98,100,0.4,overcast clouds
39,Vaini,TO,-21.2,-175.2,82.56,89,75,10.36,broken clouds
40,Busselton,AU,-33.65,115.3333,63.14,89,15,10.83,few clouds
41,Port Shepstone,ZA,-30.7414,30.455,72.21,86,87,4.65,overcast clouds
42,Avarua,CK,-21.2078,-159.775,82.45,74,20,12.66,few clouds
43,East London,ZA,-33.0153,27.9116,71.51,77,100,11.72,overcast clouds
44,Rikitea,PF,-23.1203,-134.9692,77.04,73,0,20.49,clear sky
