City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kaitangata,NZ,2021-09-22 18:18:29,-46.2817,169.8464,39.78,88,7,4.47
1,Beckley,US,2021-09-22 18:18:30,37.7782,-81.1882,76.59,100,90,21.85
2,Yellowknife,CA,2021-09-22 18:15:04,62.456,-114.3525,52.39,69,49,9.1
3,Coihaique,CL,2021-09-22 18:18:30,-45.5752,-72.0662,56.01,58,75,2.3
4,Rikitea,PF,2021-09-22 18:18:31,-23.1203,-134.9692,73.62,72,0,20.83
5,Ranghulu,CN,2021-09-22 18:18:32,46.65,124.8667,53.69,95,100,5.97
6,Ushuaia,AR,2021-09-22 18:18:33,-54.8,-68.3,56.82,54,75,11.5
7,Soyo,AO,2021-09-22 18:18:33,-6.1349,12.3689,75.4,81,72,11.01
8,Malindi,KE,2021-09-22 18:18:34,-3.2175,40.1191,76.5,84,6,15.93
9,Albany,US,2021-09-22 18:16:56,42.6001,-73.9662,80.8,74,100,1.99
10,Pemangkat,ID,2021-09-22 18:18:35,1.1667,108.9667,79.29,84,92,2.64
11,Busselton,AU,2021-09-22 18:18:35,-33.65,115.3333,53.04,91,0,10.49
12,Chuy,UY,2021-09-22 18:18:23,-33.6971,-53.4616,60.58,64,18,11.21
13,Luderitz,NA,2021-09-22 18:17:32,-26.6481,15.1594,60.94,72,4,6.64
14,Hobart,AU,2021-09-22 18:18:36,-42.8794,147.3294,57.25,57,40,8.99
15,Adre,TD,2021-09-22 18:18:37,13.4667,22.2,81.03,57,100,8.34
16,Sao Joaquim,BR,2021-09-22 18:18:37,-28.2939,-49.9317,59.11,52,65,4.45
17,Ondangwa,NA,2021-09-22 18:18:38,-17.9167,15.95,87.8,18,26,4.61
18,Arraial Do Cabo,BR,2021-09-22 18:18:38,-22.9661,-42.0278,71.56,60,20,19.57
19,Bredy,RU,2021-09-22 18:18:39,52.4153,60.3411,46.72,42,50,6.35
20,La Ronge,CA,2021-09-22 18:18:40,55.1001,-105.2842,62.82,48,90,5.75
21,Ambilobe,MG,2021-09-22 18:18:40,-13.2,49.05,72.48,74,73,4.94
22,Jamestown,US,2021-09-22 18:13:44,42.097,-79.2353,74.79,85,90,14.0
23,Beloha,MG,2021-09-22 18:18:41,-25.1667,45.05,68.95,74,74,10.94
24,Bac Lieu,VN,2021-09-22 18:17:28,9.285,105.7244,78.53,86,100,7.09
25,Avarua,CK,2021-09-22 18:18:41,-21.2078,-159.775,73.45,78,75,9.22
26,Phonhong,LA,2021-09-22 18:18:42,18.5007,102.4166,74.7,94,77,1.81
27,Codrington,AU,2021-09-22 18:18:42,-38.2667,141.9667,48.76,88,42,12.5
28,Bluff,NZ,2021-09-22 18:18:43,-46.6,168.3333,37.8,85,34,9.6
29,College,US,2021-09-22 18:18:43,64.8569,-147.8028,29.28,83,75,4.61
30,Miyako,JP,2021-09-22 18:18:44,39.6367,141.9525,66.97,94,99,1.88
31,Ampanihy,MG,2021-09-22 18:17:14,-24.7,44.75,68.05,71,18,11.5
32,Mar Del Plata,AR,2021-09-22 18:14:47,-38.0023,-57.5575,55.42,72,95,10.02
33,Hilo,US,2021-09-22 18:18:45,19.7297,-155.09,74.8,94,90,5.75
34,Punta Arenas,CL,2021-09-22 18:17:42,-53.15,-70.9167,51.91,62,75,21.85
35,Katsuura,JP,2021-09-22 18:18:46,35.1333,140.3,80.71,86,76,19.62
36,Tura,IN,2021-09-22 18:18:46,25.5198,90.2201,73.36,93,84,1.52
37,Port Alfred,ZA,2021-09-22 18:18:47,-33.5906,26.891,62.83,80,0,24.23
38,Tigzirt,DZ,2021-09-22 18:18:47,36.8886,4.1198,76.5,71,72,14.83
